Id	Name	Description	IconRUID	acc	afterImage	attack	attackSpeed	cash	chatBalloon	effect.bottom	effect.delay	effect.dx	effect.dy	effect.emission	effect.follow	effect.genOnMove	effect.interval	effect.left	effect.path	effect.right	effect.theta	effect.top	effect.z	elemDefault	expireOnLogout	fs	incACC	incCraft	incDEX	incEVA	incINT	incJump	incLUK	incLUk	incMAD	incMDD	incMHP	incMMP	incPAD	incPDD	incRMAF	incRMAI	incRMAL	incRMAS	incSTR	incSpeed	islot	keywordEffect.0.keyword	keywordEffect.0.sound	keywordEffect.0.z	knockback	nameTag	notSale	only	price	quest	recovery	reqDEX	reqINT	reqJob	reqLUK	reqLevel	reqPOP	reqSTR	sfx	slotMax	stand	timeLimited	tradeBlock	tuc	vslot	walk
1000000	Blue Beanie	null	51cb0db5d7fb48a4ad992dce2214dc0a	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000001	Fine Black Hanbok Hat	null	e26046e4e9a146fb90b2fb4b6bb50ce6	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000002	Fine Blue Hanbok Hat	null	0e26c84550c94c3aba883db806dd0b20	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000003	Scream Mask	null	1d2a6f0f1a2041bb96a0d203335d0c79	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000004	Old School Uniform Hat	null	88f2b84a2a16481ea5cc942a103b2f33	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000005	Men's Ninja Hat	null	e6124c55b5964ce4a1220f51b0e518f8	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000006	Samurai Hair-do	null	779a07d7ff584ed9bc80ea014fbac9a0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000007	Hat of Death	null	c133e952dc6c4381a6ff2b6d6eba5e6e	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000008	Detective Hat	null	00adfa3c62ef4e60a27b183ff5aa16cc	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
1000009	Mesoranger Red Helmet	null	3bfb11515d954fa8831fce2e436e5b0a	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Cpvslot	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
